P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
-1073.53,-1903.96,-923.251,-1020.46,-635.846,-378.299,-190.09,-156.483,726.872,357.114,157.059,-71.5661,783.413
-1064.37,-1893.62,-919.243,-1014.32,-637.158,-376.78,-193.598,-153.067,715.802,354.668,151.345,-73.3677,780.388
-1000.21,-1855.44,-911.774,-1009.67,-628.547,-368.795,-184.189,-149.832,720.546,363.143,158.722,-56.0482,794.913
-997.092,-1935.87,-913.049,-1015.25,-633.038,-373.355,-191.938,-156.483,715.21,358.245,149.684,-64.3496,784.623
-1058.13,-1927.76,-909.406,-1019.9,-636.408,-377.54,-198.211,-157.92,711.452,357.682,150.789,-68.3178,790.475
-1078.22,-1946.57,-918.517,-1023.8,-636.408,-372.214,-191.198,-154.327,710.266,354.477,151.897,-61.463,783.821
-1109.42,-1861.34,-918.697,-1021.57,-639.028,-368.032,-193.414,-156.661,718.768,355.986,150.977,-66.1513,789.87
-1133.2,-1909.68,-912.684,-1016.74,-639.778,-375.068,-191.382,-152.528,721.733,362.2,160.751,-55.8707,794.913
-1053.45,-1888.09,-921.249,-1022.13,-633.413,-374.308,-190.461,-149.832,728.256,358.245,151.345,-66.6937,777.16
-1044.28,-1880.89,-922.886,-1020.64,-638.091,-375.068,-185.665,-151.45,715.605,358.245,157.059,-54.4274,790.074
-1117.8,-1862.27,-907.22,-1007.44,-629.109,-366.7,-179.576,-150.013,712.639,360.507,160.383,-50.2784,792.898
-1110.97,-1936.98,-912.868,-1021.01,-642.023,-374.308,-186.957,-157.203,721.338,369.173,163.7,-39.9945,800.364
-1129.89,-1953.4,-923.616,-1023.43,-642.582,-375.258,-194.518,-160.616,719.757,357.114,156.138,-61.463,783.413
-1095.57,-1943.62,-917.603,-1017.67,-637.342,-366.322,-195.071,-158.64,720.944,364.462,155.402,-58.5765,789.469
-1115.07,-1926.65,-930.717,-1030.5,-646.514,-380.584,-202.083,-162.053,727.664,361.263,157.798,-49.5551,782.808
-1089.72,-1884.22,-919.789,-1014.32,-632.851,-369.363,-187.693,-149.112,722.328,359.754,161.671,-44.5052,799.559
-1086.21,-1851.75,-919.973,-1020.27,-639.403,-369.363,-185.297,-149.655,728.453,358.623,159.643,-51.7217,790.274
-1075.3,-1864.87,-917.774,-1013.39,-636.539,-363.613,-188.236,-151.963,721.023,363.022,161.129,-54.5984,799.825
-1094.42,-1842.56,-924.158,-1024.01,-638.795,-369.449,-189.534,-157.532,728.716,368.137,159.643,-50.1074,798.602
