P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
30.8417,-1344.82,-712.475,-850.363,-562.712,-367.42,-204.595,-110.351,610.534,206.956,79.0291,-53.7239,799.92
35.1485,-1344.11,-707.708,-847.556,-560.407,-365.961,-198.881,-109.677,598.291,201.107,70.0011,-72.7069,819.492
53.28,-1326.41,-700.975,-835.671,-547.128,-355.253,-195.755,-113.625,593.136,203.773,77.3655,-70.2017,831.788
46.6455,-1338.21,-703.707,-844.784,-550.869,-361.526,-196.123,-111.469,588.194,214.695,85.6669,-50.3639,797.484
29.8685,-1347.62,-704.798,-846.829,-555.738,-361.335,-202.392,-108.592,602.229,207.538,77.5496,-52.5272,823.112
19.9134,-1328.99,-706.074,-847.943,-558.918,-363.239,-201.84,-113.086,609.344,200.755,71.0959,-64.971,809.188
37.085,-1332.13,-709.897,-852.592,-559.48,-366.47,-205.897,-118.836,593.928,198.5,71.2833,-74.354,820.893
40.4055,-1335.63,-706.62,-855.009,-552.931,-361.335,-198.888,-110.929,605.981,206.972,79.9463,-54.8713,814.84
51.7217,-1324.38,-706.804,-840.507,-551.994,-363.998,-201.472,-115.601,600.447,200.568,70.9118,-82.1096,803.136
24.5984,-1336.55,-709.536,-855.009,-561.163,-366.47,-203.316,-115.963,589.779,196.803,69.4357,-72.0066,798.694
44.3047,-1326.96,-706.804,-844.413,-549.561,-359.435,-194.831,-111.827,599.261,203.392,76.445,-62.6269,822.303
5.08932,-1352.59,-702.796,-840.878,-546.191,-353.349,-192.618,-110.568,608.749,219.778,84.3748,-51.988,829.973
39.623,-1346.14,-699.699,-842.364,-554.239,-369.705,-195.571,-113.625,599.856,202.455,72.3847,-68.7617,830.779
54.4537,-1340.98,-710.446,-850.172,-558.171,-366.092,-203.5,-113.086,586.218,198.118,68.3277,-70.2017,834.411
28.1096,-1331.94,-708.625,-847.756,-554.055,-361.148,-198.888,-112.547,599.261,202.074,74.0483,-63.1693,815.442
12.1118,-1341.72,-707.165,-854.266,-558.543,-367.993,-204.421,-116.68,601.043,201.511,71.2833,-70.7441,806.969
20.5019,-1344.11,-707.534,-848.131,-558.543,-366.28,-202.208,-113.448,591.357,196.803,70.1754,-74.5315,811.611
27.9156,-1349.83,-703.891,-837.903,-554.055,-360.385,-196.675,-109.493,598.472,207.347,78.2894,-53.0696,819.88
31.2329,-1333.23,-706.62,-840.507,-551.435,-357.153,-195.383,-112.728,595.112,206.219,75.7052,-63.531,817.463
25.966,-1351.49,-714.089,-833.07,-551.619,-358.294,-195.571,-112.547,595.112,204.148,74.6006,-67.4959,816.855
1.76877,-1325.12,-711.541,-848.686,-555.173,-360.007,-197.78,-111.646,596.696,213.189,81.6099,-48.7398,824.926
23.2438,-1295.97,-708.789,-842.095,-553.338,-365.997,-206.219,-117.676,588.013,190.964,64.0998,-78.1052,823.391
4.30685,-1323.27,-710.44,-847.503,-559.148,-364.416,-202.905,-109.585,593.136,204.174,73.4959,-64.5962,777.982
-21.0575,-1363.28,-719.366,-854.568,-559.338,-367.079,-202.353,-111.919,594.125,207.377,76.0768,-49.9858,814.906
21.4784,-1320.32,-708.434,-841.365,-553.348,-361.943,-197.556,-114.257,597.679,200.785,73.1277,-67.302,839.721
16.9907,-1329.72,-706.797,-844.899,-553.348,-360.802,-196.083,-109.046,605.783,204.74,79.7655,-51.4291,833.668
39.623,-1319.95,-721.184,-846.573,-555.032,-361.18,-199.956,-115.335,597.087,202.856,78.845,-66.9436,821.359
15.0378,-1324.93,-721.917,-843.597,-551.103,-362.512,-197.924,-111.561,610.725,211.897,79.0291,-60.6313,809.254
-5.2537,-1344.11,-714.628,-848.802,-556.527,-366.507,-207.518,-110.663,602.226,208.886,78.2926,-56.663,814.906
13.0882,-1343.37,-706.432,-845.083,-554.844,-364.222,-204.934,-117.853,586.416,202.103,62.8011,-79.2099,814.702
51.3304,-1334.88,-703.884,-848.617,-554.098,-363.843,-203.461,-115.157,592.741,194.949,67.4137,-75.2384,812.483
