P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
-2139.77,-1909.03,-1050.7,-995.892,-484.248,-313.45,-273.873,-287.06,732.914,446.67,191.221,-86.308,763.421
-2103.69,-1889.84,-1021.19,-923.557,-467.402,-357.571,-293.241,-274.659,741.015,457.973,197.862,-72.5984,773.106
-2130.21,-1872.32,-1023.74,-932.854,-438.201,-344.068,-317.037,-275.375,746.749,453.64,194.541,-68.6302,769.878
-2082.81,-1874.35,-1014.08,-860.144,-456.355,-372.401,-353.188,-298.922,764.739,466.452,197.31,-74.9425,787.029
-2159.47,-1904.42,-1031.39,-894.175,-449.994,-382.672,-323.491,-287.418,739.832,454.958,189.377,-103.808,789.449
-2171.95,-1947.04,-1035.94,-943.266,-452.423,-355.476,-305.599,-287.599,769.874,470.216,203.767,-70.0735,822.543
-1962.09,-1814.57,-974.368,-732.395,-510.822,-375.252,-407.412,-362.367,760.386,449.116,174.806,-103.986,799.135
-2201.79,-1927.11,-1052.7,-1007.98,-515.879,-337.223,-289.184,-264.592,768.494,470.407,201.919,-68.2685,783.597
-2183.26,-1939.47,-1047.05,-988.639,-484.061,-305.27,-274.797,-275.556,755.251,470.216,199.154,-71.5168,789.449
-2143.67,-1941.13,-1045.42,-981.574,-468.523,-333.419,-268.895,-277.355,752.085,468.148,197.31,-74.5842,797.52
-2232.22,-1951.1,-1063.27,-1031.97,-551.438,-309.074,-249.525,-269.445,755.054,462.871,192.513,-92.8011,791.668
-2184.44,-1888.92,-1027.56,-990.684,-510.822,-271.042,-258.01,-255.068,758.016,463.624,203.767,-67.3677,793.483
-2175.27,-1901.83,-1037.22,-990.313,-516.25,-295.762,-254.877,-258.303,764.144,469.276,208.008,-57.0839,784.406
-2143.87,-1905.15,-1025.92,-933.038,-484.248,-362.325,-303.202,-304.314,760.784,465.886,198.23,-78.5524,783.193
-1734.1,-1669.02,-879.456,-898.077,-673.47,-580.998,-411.1,-340.619,726.191,413.136,168.717,-100.741,802.567
-1892.85,-1766.42,-937.934,-963.163,-587.188,-358.521,-315.929,-319.95,702.865,420.858,166.504,-94.7869,784.606
-2011.43,-1815.31,-936.658,-987.15,-611.146,-521.293,-338.433,-313.299,726.783,427.641,162.815,-112.106,778.554
-2257.36,-1985.35,-1074.59,-1020.99,-536.443,-412.728,-336.523,-302.137,735.153,451.134,186.467,-79.9496,779.705
-2256.79,-1982.4,-1060.57,-1034.76,-551.05,-323.103,-275.849,-270.858,746.601,443.063,188.114,-77.2636,784.938
-2138.39,-1933.51,-1038.89,-946.807,-466.261,-385.476,-310.892,-292.251,759.65,459.265,198.815,-78.5261,796.242
-2241.57,-1945.68,-1034.15,-981.952,-505.006,-328.047,-281.198,-289.914,738.497,464.351,202.136,-64.6324,775.661
-2104.84,-1931.85,-1023.95,-937.325,-610.567,-483.403,-340.586,-313.276,733.753,423.659,178.156,-99.8138,798.865
-2007.13,-1865.62,-995.165,-941.231,-509.497,-413.05,-345.199,-294.947,731.182,406.139,163.213,-105.225,774.046
-2137.81,-1949.74,-1056.74,-1000.18,-565.647,-543.87,-461.576,-359.645,731.777,386.17,141.446,-151.769,781.914
-1691.58,-1696.27,-899.34,-794.328,-556.103,-447.087,-371.205,-357.13,699.354,410.847,157.68,-100.537,779.895
-2431.38,-2087.39,-1109.75,-1106.54,-620.298,-397.457,-311.264,-306.089,730.393,443.251,177.416,-107.03,784.938
-2357.83,-2031.48,-1096.82,-1079.95,-756.921,-626.009,-528.336,-391.102,727.625,371.474,137.02,-165.478,805.927
-2342.81,-2030.92,-1073.68,-1070.28,-592.975,-328.429,-267.179,-282.543,756.487,453.613,190.146,-79.2494,787.362
-2382.22,-2046.05,-1096.46,-1081.25,-596.716,-311.313,-275.849,-293.326,771.114,463.411,199.368,-85.3809,800.476
-2125.52,-1928.53,-1026.5,-915.009,-688.422,-507.173,-401.451,-373.305,723.669,391.444,142.738,-156.099,803.504
-2336.18,-2012.29,-1069.31,-1021.19,-519.045,-342.119,-313.476,-307.526,727.822,443.816,180.368,-105.587,783.729
-1805.86,-1756.41,-888.227,-804.369,-668.584,-490.82,-385.776,-363.603,696.589,385.792,133.884,-137.878,799.671
-2004.4,-1861.56,-976.58,-896.042,-603.64,-623.724,-483.337,-383.911,716.555,376.938,125.954,-154.294,797.251
-2308.87,-2004.91,-1056.92,-981.397,-480.299,-467.81,-328.416,-309.143,746.404,449.658,186.454,-84.8384,786.553
-2069.73,-1868.2,-989.698,-922.261,-628.909,-450.128,-325.279,-309.863,740.078,451.164,181.473,-87.9091,778.284
-2378.7,-2026.87,-1063.48,-978.047,-463.828,-354.099,-357.742,-301.595,762.615,457.572,190.33,-96.5688,769.401
-2201.97,-1958.6,-1035.97,-918.543,-477.867,-371.214,-313.292,-320.824,747.196,455.875,187.746,-87.005,787.362
-2313.32,-2001.41,-1060.32,-933.199,-458.545,-427.917,-353.533,-309.689,771.495,463.394,187.506,-95.4938,794.588
-2142.65,-1932.23,-1020.43,-884.496,-425.418,-376.702,-338.233,-347.431,756.454,433.276,172.004,-104.173,802.649
-2273.34,-1979.83,-1033.55,-852.51,-452.936,-453.528,-418.281,-353.721,773.849,457.582,186.391,-91.9069,814.353
-2221.65,-1960.64,-1035.92,-948.651,-487.006,-321.742,-308.167,-302.137,741.824,450.234,179.566,-105.074,799.217
-2338.29,-2006.4,-1068.35,-1003.13,-509.842,-350.269,-308.351,-314.357,766.534,460.031,184.363,-107.06,807.492
-2123.93,-1904.74,-1008.41,-877.431,-431.408,-335.435,-353.356,-329.816,752.104,438.178,170.344,-110.666,806.686
-2250.13,-1955.11,-1026.08,-946.791,-507.6,-383.168,-327.166,-309.686,759.814,457.769,193.029,-88.6587,788.525
-2313.91,-1975.4,-1055.59,-996.625,-510.592,-332.394,-300.421,-317.415,746.966,436.669,176.801,-110.124,795.183
-1251.62,-1525.49,-765.035,-679.572,-590.9,-568.761,-506.436,-404.404,723.242,361.319,117.041,-161.356,811.325
-803.287,-1382.36,-627.308,-636.244,-564.129,-539.099,-503.116,-427.769,658.804,293.132,49.5452,-220.701,779.849
-2331.86,-1998.1,-1053.59,-950.141,-471.097,-396.099,-344.69,-314.719,751.118,442.698,169.055,-116.259,776.213
-2354.29,-2004.92,-1071.08,-1016.15,-502.356,-306.526,-276.441,-296.387,752.302,461.915,194.877,-81.4422,819.4
-1573.77,-1618.26,-823.874,-787.056,-604.001,-561.153,-485.044,-390.743,717.117,401.254,149.132,-122.571,809.915
-762.918,-1161.79,-660.648,-672.507,-599.132,-645.199,-521.928,-429.387,706.837,335.514,85.6899,-187.154,799.217
