P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
710.499,-200.223,-293.869,-441.285,-349.733,-279.541,-160.156,-98.2916,-213.574,-198.079,-111.827,-43.7425,846.171
724.393,-198.368,-291.824,-441.229,-357.886,-280.363,-158.318,-98.502,-209.408,-198.441,-108.681,-34.0406,828.224
715.98,-200.956,-294.566,-441.429,-359.576,-279.922,-160.537,-98.137,-208.636,-198.786,-108.506,-40.5567,842.943
723.012,-202.064,-299.484,-437.527,-358.08,-285.058,-162.013,-100.652,-214.363,-198.036,-110.167,-41.6384,847.986
730.238,-200.4,-294.927,-438.267,-350.778,-272.883,-158.693,-92.7453,-209.03,-192.385,-102.053,-32.0778,851.419
743.32,-203.168,-296.022,-438.454,-359.763,-277.259,-157.22,-99.577,-211.401,-195.021,-106.846,-37.4893,846.171
744.494,-202.432,-293.471,-439.384,-353.399,-278.782,-160.169,-98.4987,-208.636,-199.729,-108.138,-40.9184,852.224
731.215,-197.451,-295.657,-447.193,-358.455,-286.199,-166.074,-97.5979,-211.2,-202.741,-112.932,-42.1808,853.434
738.05,-201.876,-292.925,-442.36,-356.768,-282.201,-161.829,-98.4987,-212.785,-203.116,-106.846,-39.6559,853.842
744.102,-206.121,-300.03,-441.245,-354.336,-272.124,-160.353,-93.8236,-213.179,-197.093,-107.586,-40.3759,852.224
760.508,-201.14,-296.933,-435.291,-354.148,-281.823,-157.036,-97.9562,-209.622,-196.718,-109.062,-37.851,848.391
758.361,-197.635,-294.382,-443.103,-355.46,-283.345,-155.928,-96.697,-206.66,-196.718,-107.402,-36.4077,849.196
734.729,-200.032,-298.028,-450.171,-359.954,-286.005,-160.721,-100.833,-211.992,-198.036,-109.43,-37.3085,854.042
731.215,-198.191,-292.563,-436.596,-352.84,-276.309,-161.277,-102.092,-208.041,-197.658,-107.214,-36.9502,853.434
752.305,-202.8,-290.558,-437.711,-349.095,-287.717,-160.353,-98.857,-209.622,-197.846,-109.43,-37.3085,850.205
763.24,-198.927,-294.382,-439.384,-353.399,-282.773,-160.353,-96.3387,-203.698,-197.658,-108.506,-38.3902,852.829
738.635,-203.54,-291.649,-441.058,-355.46,-281.445,-164.41,-98.137,-212.387,-199.729,-111.087,-42.9008,855.656
761.678,-201.876,-288.552,-439.013,-351.34,-276.878,-160.169,-95.9803,-214.56,-186.74,-100.761,-34.4252,847.381
773.004,-208.149,-295.657,-438.454,-349.282,-270.414,-160.721,-98.137,-210.02,-194.269,-107.402,-34.2444,844.557
762.655,-194.502,-283.45,-433.621,-347.971,-274.409,-156.112,-95.0828,-208.636,-195.587,-100.392,-34.9644,843.344
739.023,-203.356,-295.657,-441.245,-353.589,-276.309,-166.258,-97.9562,-210.414,-195.965,-108.138,-36.046,852.224
736.094,-197.448,-296.923,-438.645,-355.023,-274.662,-160.701,-98.0318,-213.955,-195.396,-106.468,-35.2932,841.539
735.886,-195.054,-295.111,-443.869,-352.974,-285.061,-163.105,-101.8,-211.407,-196.876,-107.586,-42.3485,847.378
723.196,-202.432,-291.649,-443.31,-360.46,-285.82,-164.581,-99.8236,-210.023,-200.265,-106.846,-38.7419,854.239
750.339,-193.026,-293.652,-446.101,-362.893,-286.961,-156.283,-97.8477,-208.639,-198.76,-108.694,-36.937,834.063
747.604,-197.638,-299.665,-450.194,-362.522,-282.776,-161.629,-100.363,-214.961,-194.992,-113.116,-38.5611,848.792
742.528,-205.016,-293.471,-439.591,-350.726,-281.257,-155.915,-96.2302,-211.207,-194.617,-105.189,-35.6745,831.64
740.966,-198.743,-290.009,-442.008,-351.663,-278.403,-160.708,-97.4861,-204.687,-191.606,-105.189,-37.1178,837.693
722.414,-202.248,-295.292,-443.681,-358.777,-286.961,-171.222,-99.4653,-214.567,-199.134,-112.195,-42.5293,854.039
740.769,-200.403,-303.492,-443.497,-355.966,-280.876,-160.892,-101.26,-212.39,-196.876,-111.459,-39.4652,852.625
728.075,-198.191,-297.843,-444.24,-358.215,-286.011,-159.232,-100.724,-212.985,-199.7,-110.167,-39.8236,842.131
726.707,-201.88,-298.938,-440.15,-357.465,-284.108,-163.66,-98.0253,-211.601,-202.711,-107.77,-39.1036,858.273
735.886,-193.946,-292.195,-442.379,-357.091,-284.87,-152.223,-94.0735,-210.418,-197.629,-109.614,-38.9228,854.44
729.051,-202.984,-302.032,-449.448,-364.951,-282.776,-162.368,-100.363,-216.342,-195.561,-111.643,-39.2844,850.202
739.404,-205.568,-298.024,-444.612,-364.951,-275.744,-158.495,-99.6461,-208.836,-195.37,-109.43,-39.4652,853.835
743.307,-201.511,-292.925,-440.893,-356.157,-280.304,-158.68,-99.4653,-212.985,-196.123,-107.214,-37.1178,845.363
764.203,-199.483,-296.749,-446.473,-353.724,-287.149,-161.813,-100.363,-212.985,-198.947,-110.903,-42.7134,850.002
733.348,-205.2,-298.938,-449.448,-359.902,-286.771,-161.813,-102.52,-214.764,-198.007,-108.138,-34.9545,848.588
767.326,-205.94,-298.57,-447.031,-351.475,-280.876,-159.232,-100.004,-211.207,-194.804,-107.954,-35.3162,854.039
